Jasper and she stood looking into each other 's faces , alive and tingling and delighted , knowing that anyone looking at them could guess , simply from the waves of energy that danced <head>from</head> them .	1(1)
"I have to bless this tower before it falls down or the masons perish <head>of</head> liver-rot . """	16(7b)
Oldham 's 5-1 win <head>over</head> Luton was their best of the season although David Pleat refused to concede his team were relegation certainties .	6(2b)
And Miss Streep duly arrived on her bicycle which she chained confidently <head>to</head> the theatre railings .	13(5)
He had barely registered this fact when he felt a tap <head>on</head> his shoulder .	7(2)
I soon had an armful , then clambered up <head>off</head> the shingle to the better walking of the salt-washed turf where the burn , dividing into deep peaty runnels , cut its way to the shore .	4(3)
Chick peas have a deliciously nutty flavour and are excellent <head>for</head> vegetarian casseroles and salads , as well as being the basis for hummus , a very popular Mediterranean dip .	5(4)
Now he suddenly reappeared , clad in nothing but a pair of nankeen trousers , rushing <head>down</head> the stairs and levelling a pistol at my head !	1(1)
"On his visit to London we were able to get together for a bit of a jam and a chat <head>about</head> some of the parts he played on the ` new "" album"	1(1)
"The ANC 's elliptical denial that it was ` organisationally implicated "" has done little to calm white people 's doubts <head>about</head> its commitment to the rule of law ."	1(1)
He translated for us and it was only after he had argued our case <head>with</head> the Head of Austrian Customs that we started to get somewhere .	6(4)
Independent candidates won 83 seats , among them Jaled Mohiedine , the veteran leader of the small left-wing Progressive Patriotic Association and a leading figure in the 1952 revolution <head>against</head> the monarchy .	1(1)
"I just got kicked <head>in</head> the balls by a footballer. "" 'He 's a famous footballer . """	2(1a)
The picturesque countryside , fantastic choice and family events , excellent shopping and the host <head>of</head> places to visit make Nottinghamshire the perfect short break destination .	3(1b)
Then she snipped the long , long strips <head>of</head> satin into tiny squares .	3(1b)
Mr Major learned <head>by</head> his predecessor 's mistake .	5(2)
It may be recalled that Lanfranc 's doubt <head>about</head> the sanctity of Elphege arose from lack of information about the circumstances of his death .	1(1)
The coelenterate communicative process is well known by the large marine invertebrate importers and dealers who usually segregate coelenterates <head>by</head> species devoting a tank to a single species where they will be happy placed close together .	15(3c)
It looks like a sagging , browny-grey jelly that fairly rapidly decays <head>into</head> an unpleasant mush .	6(6)
They can and should be made readily accessible to teachers and pupils <head>in</head> English as in other subjects .	8(6)
There was a negligible quantity <head>of</head> rye ( 80 , p.63 ; 83 , p.156 ) .	3(1b)
When the two types unite <head>in</head> a new amalgamated cell the genes are once again in two sets but in new combinations with genes from not just one parent but two .	2(1a)
When I returned after nipping outside , she trotted <head>to</head> the stairs , eyed me carefully and yapped , but not at all convincingly .	1(1)
""" There is mounting hope <head>in</head> the world for better relations , and I think the Soviet Union and Cuba understand their responsibilities ."	1(1)
He plucked some grapes <head>from</head> my complimentary fruit bowl .	10(7)
If she left early each morning and came home late at night there was very little likelihood <head>of</head> her meeting Leo .	9(5)
Inside the solid lumps <head>of</head> our brain lives the experience which appears to the subject as an ordered world , the room in which I write for example .	3(1b)
Coleen , however , although she loved Mr Cubbage , wanted time to think things over and would gently scold him <head>for</head> his haste .	6(5)
The news had flown <head>around</head> the family that the new baby was successfully born , and everything was all right .	3(2)
Botham has been in pain since the fourth day of this 546-mile hike <head>from</head> Land 's End to Margate , with a deep-seated blister on his achilles tendon .	4(3)
Desire shook her <head>to</head> the very foundations of her being .	6(2a)
` She is a young woman of considerable intelligence and physical health -- a splendid specimen <head>of</head> humanity .	10(5a)
"` And when you found your brother dead , cold as ice in that battlefield , and trailed back to England to confess your deeds <head>to</head> your parents , what then ? """	8(3)
What the development of state farms has meant is the demise <head>of</head> the peasant plot based on unpaid family labour , the reduction of seasonal employment and a growth in proletarianisation .	11(6)
Even as he spoke , she saw the dawning horror <head>in</head> his eyes .	1(1)
Some joined the insurgence and armoured vehicles left the scene of the protest draped <head>in</head> white flags .	1(1)
He stared slowly <head>round</head> the rest of the group .	8(4)
What are the conventions <head>of</head> radio conversations like this one , and why are they different from those of face-to-face conversation ?	9(5)
He saw Owen redden with pleasure , and laughed , flinging an arm <head>about</head> his shoulders so forgetfully that it was a worthy as well as a willing sacrifice Owen made for him , containing the pain of the embrace .	3(2)-1
"` Singularly foolish <head>of</head> Mother to leave it lying around . """	13(6b)
When he was certain they were not being followed he darted <head>down</head> a narrow , stinking court and knocked at a door .	3(1b)
Danny Yushiskin and his wife in Tel Aviv await their parent 's arrival <head>from</head> Leningrad ; their home will be in the Israeli town of Ariel , a settlement town in the occupied West Bank .	1(1)
Sally also takes photographs , especially when touring <head>around</head> England .	3(2)
At the time she was lodging <head>with</head> two ladies who had lost their brother in the First World War .	1(1)
And then , suddenly , we all saw him , sprinting <head>across</head> the road towards us .	1(1)
Dr Jaffery rustled <head>around</head> the room , picking up books and looking behind cushions for his mosque cap before remembering that he was already wearing it .	3(2)
